Mes_Ano;Data_Baixa;armazem_destino;Armazem_Agrupado;Tipo_Armazem;UF;Tipo_Desconexao;Tecnologia;Volume
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA VARGINHA;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;OUTROS;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA NATAL;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 5;2
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA FORTALEZA;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 5;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA PORTO SEGURO;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 5;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA SÃO JOSÉ DO RIO PARDO;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 5;2
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA SALTO DE PIRAPORA;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 5;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA REGISTRO;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 5;3
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA FORTALEZA;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 6;2
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA IGUAPE;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 6;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA VARGINHA;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 6;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA SAO JOSE DE MIPIBU;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 6;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA NATAL;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 6;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA SALTO DE PIRAPORA;ALARES LOJA;ALARES LOJA;Sem.Info;Sem.Info;WIFI 6;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA SETE BARRAS;ALARES LOJA;ALARES LOJA;SP;involuntaria;WIFI 5;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA SÃO JOSÉ DO RIO PARDO;ALARES LOJA;ALARES LOJA;SP;voluntaria;OUTROS;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA TABOAO DA SERRA;ALARES LOJA;ALARES LOJA;SP;voluntaria;WIFI 5;1
JUL/2026;22/07/2026;DEVOLUCAO EQUIP LOJA AGUAI;ALARES LOJA;ALARES LOJA;SP;voluntaria;WIFI 5;1
