Tipo_Armazem;Armazem_Exibicao;UF;Tipo_Desconexao;Volume
TERCEIROS COLETA;DEROYQUE;BA;involuntaria;22
TERCEIROS COLETA;DEROYQUE;BA;voluntaria;70
TERCEIROS COLETA;ABL;CE;Sem.Info;9
TERCEIROS COLETA;ABL;CE;involuntaria;20
TERCEIROS COLETA;ABL;CE;voluntaria;35
TERCEIROS COLETA;OMEGA;CE;Sem.Info;3
TERCEIROS COLETA;OMEGA;CE;involuntaria;30
TERCEIROS COLETA;OMEGA;CE;voluntaria;484
TERCEIROS COLETA;REPARO ELETROS;CE;Sem.Info;1
TERCEIROS COLETA;REPARO ELETROS;CE;involuntaria;54
TERCEIROS COLETA;REPARO ELETROS;CE;voluntaria;83
TERCEIROS COLETA;CLOVIS LUCIANO;MG;Sem.Info;1
TERCEIROS COLETA;CLOVIS LUCIANO;MG;involuntaria;55
TERCEIROS COLETA;CLOVIS LUCIANO;MG;voluntaria;305
TERCEIROS COLETA;DEROYQUE;MG;involuntaria;11
TERCEIROS COLETA;DEROYQUE;MG;voluntaria;165
TERCEIROS COLETA;JL - MG;MG;Sem.Info;33
TERCEIROS COLETA;JL - MG;MG;involuntaria;123
TERCEIROS COLETA;JL - MG;MG;voluntaria;402
TERCEIROS COLETA;LVMOTOBOY;MG;Sem.Info;8
TERCEIROS COLETA;LVMOTOBOY;MG;involuntaria;46
TERCEIROS COLETA;LVMOTOBOY;MG;voluntaria;358
TERCEIROS COLETA;DEBORAH BRUNA;PB;Sem.Info;4
TERCEIROS COLETA;DEBORAH BRUNA;PB;involuntaria;3
TERCEIROS COLETA;DEBORAH BRUNA;PB;voluntaria;29
TERCEIROS COLETA;NDR;RN;Sem.Info;9
TERCEIROS COLETA;NDR;RN;involuntaria;24
TERCEIROS COLETA;NDR;RN;voluntaria;118
TERCEIROS COLETA;JOAO MANTOAN;SP-ORN;Sem.Info;25
TERCEIROS COLETA;JOAO MANTOAN;SP-ORN;involuntaria;19
TERCEIROS COLETA;JOAO MANTOAN;SP-ORN;voluntaria;191
TERCEIROS COLETA;TELECOM;SP-ORN;Sem.Info;60
TERCEIROS COLETA;TELECOM;SP-ORN;involuntaria;298
TERCEIROS COLETA;TELECOM;SP-ORN;voluntaria;806
TERCEIROS COLETA;CRH;SP-SOC;Sem.Info;2
