Mes_Ano;Data_Internalizacao;Armazem_Agrupado_Origem;Tipo_Armazem_Origem;Armazem_Origem;Armazem_Destino;Tipo_Armazem_Destino;Tipo_Desconexao;Tecnologia;Volume
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO LOJAS ERRO ITUPEVA - GMUD;CDL ITUPEVA - LABORATORIO;ALARES CDL;Sem.Info;WIFI 5;3
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA ARACOIABA DA SERRA;CDL ITUPEVA - LABORATORIO;ALARES CDL;involuntaria;WIFI 6;1
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA ARACOIABA DA SERRA;CDL ITUPEVA - LABORATORIO;ALARES CDL;voluntaria;WIFI 5;3
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA SOROCABA;CDL ITUPEVA - LABORATORIO;ALARES CDL;voluntaria;WIFI 6;1
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA ARACOIABA DA SERRA;CDL ITUPEVA - LABORATORIO;ALARES CDL;voluntaria;WIFI 6;6
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO LOJAS ERRO PCS - GMUD;CDL POCOS DE CALDAS - LABORATORIO;ALARES LABORATORIO;Sem.Info;OUTROS;11
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;WEB - RETIRADA EQUIP. LOJA - INATIVO;CDL POCOS DE CALDAS - LABORATORIO;ALARES LABORATORIO;Sem.Info;OUTROS;1
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA ELDORADO;CDL REGISTRO - LABORATORIO;ALARES LABORATORIO;Sem.Info;OUTROS;1
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA SETE BARRAS;CDL REGISTRO - LABORATORIO;ALARES LABORATORIO;Sem.Info;WIFI 5;1
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA ELDORADO;CDL REGISTRO - LABORATORIO;ALARES LABORATORIO;Sem.Info;WIFI 5;4
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA SETE BARRAS;CDL REGISTRO - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 5;1
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA ELDORADO;CDL REGISTRO - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 5;1
01/07/2026;17/07/2026;ALARES LOJA;ALARES LOJA;DEVOLUCAO EQUIP LOJA ELDORADO;CDL REGISTRO - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 6;2
01/07/2026;17/07/2026;DEBORAH BRUNA;TERCEIROS COLETA;EMP JPA REV DB - DEBORAH BRUNA;CDL JOAO PESSOA - LABORATORIO;ALARES LABORATORIO;Sem.Info;WIFI 5;1
01/07/2026;17/07/2026;DEBORAH BRUNA;TERCEIROS COLETA;EMP JPA REV DB - DEBORAH BRUNA;CDL JOAO PESSOA - LABORATORIO;ALARES LABORATORIO;involuntaria;WIFI 5;2
01/07/2026;17/07/2026;DEBORAH BRUNA;TERCEIROS COLETA;EMP JPA REV DB - DEBORAH BRUNA;CDL JOAO PESSOA - LABORATORIO;ALARES LABORATORIO;involuntaria;WIFI 6;4
01/07/2026;17/07/2026;DEBORAH BRUNA;TERCEIROS COLETA;EMP JPA REV DB - DEBORAH BRUNA;CDL JOAO PESSOA - LABORATORIO;ALARES LABORATORIO;voluntaria;OUTROS;2
01/07/2026;17/07/2026;DEBORAH BRUNA;TERCEIROS COLETA;EMP JPA REV DB - DEBORAH BRUNA;CDL JOAO PESSOA - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 5;17
01/07/2026;17/07/2026;DEBORAH BRUNA;TERCEIROS COLETA;EMP JPA REV DB - DEBORAH BRUNA;CDL JOAO PESSOA - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 6;23
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;Sem.Info;WIFI 6;1
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;involuntaria;IPTV;5
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;involuntaria;WIFI 5;32
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;involuntaria;WIFI 6;63
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;voluntaria;IPTV;49
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;voluntaria;OUTROS;5
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 5;143
01/07/2026;17/07/2026;NDR;TERCEIROS COLETA;EMP NTL REV NDR - PRINCIPAL;CDL NATAL - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 6;198
01/07/2026;17/07/2026;TELECOM;TERCEIROS COLETA;EMP ORN REV TELECOM - FERNANDA SOARES;CDL OURINHOS - LABORATORIO;ALARES LABORATORIO;Sem.Info;WIFI 5;6
01/07/2026;17/07/2026;TELECOM;TERCEIROS COLETA;EMP ORN REV TELECOM - FERNANDA SOARES;CDL OURINHOS - LABORATORIO;ALARES LABORATORIO;involuntaria;OUTROS;27
01/07/2026;17/07/2026;TELECOM;TERCEIROS COLETA;EMP ORN REV TELECOM - FERNANDA SOARES;CDL OURINHOS - LABORATORIO;ALARES LABORATORIO;involuntaria;WIFI 5;80
01/07/2026;17/07/2026;TELECOM;TERCEIROS COLETA;EMP ORN REV TELECOM - FERNANDA SOARES;CDL OURINHOS - LABORATORIO;ALARES LABORATORIO;involuntaria;WIFI 6;41
01/07/2026;17/07/2026;TELECOM;TERCEIROS COLETA;EMP ORN REV TELECOM - FERNANDA SOARES;CDL OURINHOS - LABORATORIO;ALARES LABORATORIO;voluntaria;OUTROS;73
01/07/2026;17/07/2026;TELECOM;TERCEIROS COLETA;EMP ORN REV TELECOM - FERNANDA SOARES;CDL OURINHOS - LABORATORIO;ALARES LABORATORIO;voluntaria;WIFI 5;224
